time	x_obs	y_obs
0.0	1.0	10.0
1.0	1.00021867399	5.57492982575
2.0	1.00302968953	3.94430684418
3.0	1.02061822262	3.3279010923
4.0	1.09874904027	3.02946687376
5.0	1.32465853039	2.72250997429
6.0	1.60985181903	2.40750056117
7.0	1.79896361215	2.20742020249
8.0	1.89952252201	2.1028260348
9.0	1.9501725041	2.05069192867
10.0	1.97534651712	2.02497222142
11.0	1.98781388079	2.01230353122
12.0	1.99397693412	2.00606630312
13.0	1.99702302475	2.00299291421
14.0	1.99852902096	2.0014768468
15.0	1.99927344491	2.00072871704
16.0	1.99963665413	2.00036414272
17.0	1.9998214406	2.00017885264
18.0	1.9999150423	2.00008506583
19.0	1.99995997871	2.00004006066
20.0	1.99998183404	2.0000181791
21.0	1.99999152418	2.00000848007
22.0	1.99999541529	2.00000458655
23.0	1.99999704001	2.00000296134
24.0	1.99999787445	2.00000212674
25.0	1.99999843886	2.00000156212
26.0	1.99999904385	2.00000095668
27.0	1.99999946858	2.00000053166
28.0	1.99999973817	2.00000026189
29.0	1.99999990356	2.00000009642
30.0	1.99999998076	2.0000000192
31.0	2.00000006198	1.99999993795
32.0	2.00000009291	1.99999990701
33.0	2.00000007357	1.99999992638
34.0	2.00000009734	1.9999999026
35.0	2.00000011293	1.999999887
36.0	2.0000001127	1.99999988724
37.0	2.00000009665	1.99999990331
38.0	2.00000006477	1.99999993521
39.0	2.0000000537	1.99999994628
40.0	2.00000004721	1.99999995277
41.0	2.00000004071	1.99999995927
42.0	2.00000003421	1.99999996577
43.0	2.00000002772	1.99999997227
44.0	2.00000002122	1.99999997877
45.0	2.00000001473	1.99999998527
46.0	2.00000000911	1.99999999088
47.0	2.00000000853	1.99999999147
48.0	2.00000000794	1.99999999205
49.0	2.00000000736	1.99999999264
50.0	2.00000000678	1.99999999322
51.0	2.00000000619	1.99999999381
52.0	2.00000000561	1.99999999439
53.0	2.00000000502	1.99999999497
54.0	2.00000000444	1.99999999556
55.0	2.00000000386	1.99999999614
56.0	2.00000000327	1.99999999673
57.0	2.00000000269	1.99999999731
58.0	2.0000000021	1.9999999979
59.0	2.00000000152	1.99999999848
60.0	2.00000000094	1.99999999906
