Time	ikba_rep1	ikba_rep2	ikba_var	ikba_avg	ikbb_rep1	ikbb_rep2	ikbb_var	ikbb_avg	ikbe_rep1	ikbe_rep2	ikbe_var	ikbe_avg	ikbd_rep1	ikbd_rep2	ikbd_var	ikbd_avg
0.00	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10.00	0.176113235	0.104965112	0.002531028	0.140539174	0.989986798	0.644349962	0.059732411	0.81716838	0.914956765	1.051456146	0.009316041	0.983206456	1.059631664	0.793944137	0.035294931	0.9267879
30.00	0.463506689	0.245926034	0.023670671	0.354716362	0.72474802	0.516715507	0.021638763	0.620731764	0.915343754	1.083239409	0.014094475	0.999291582	1.558181263	0.82666629	0.267557078	1.192423776
60.00	1.488866025	2.580197666	0.595502376	2.034531846	0.316405988	0.538905683	0.024753057	0.427655836	0.712736352	0.845015355	0.008748867	0.778875854	0.620494657	1.329944589	0.251659603	0.975219623
90.00	0.996292703	0.986113247	5.18107E-05	0.991202975	0.386481787	0.427738035	0.000851039	0.407109911	1.345799771	1.594173465	0.030844746	1.469986618	0.866561863	0.921581753	0.001513594	0.894071808
120.00	0.664852973	0.806860769	0.010083107	0.735856871	0.306063985	0.578546007	0.037123226	0.442304996	1.825648947	2.034362011	0.021780572	1.930005479	0.906001641	1.197052776	0.042355382	1.051527209
180.00	0.856340459	1.142196122	0.04085673	0.99926829	0.662173047	0.72792042	0.002161358	0.695046733	2.426754753	3.912983572	1.104438051	3.169869163	2.08417947	1.820351642	0.034802562	1.952265556
300.00	0.869701869	0.815533687	0.001467096	0.842617778	0.795887919	0.892160067	0.004634163	0.844023993	4.027507855	4.375653943	0.060602849	4.201580899	5.123279291	4.713573368	0.083929471	4.918426329
480.00	0.784821856	0.923924703	0.009674801	0.854373279	0.898682937	0.925150933	0.000350277	0.911916935	4.052158414	4.237378896	0.017153314	4.144768655	11.62149715	8.514566544	4.826508894	10.06803185
960.00	0.792496684	0.775854078	0.000138488	0.784175381	0.587714569	0.756379921	0.014224001	0.672047245	2.872396942	5.263729159	2.859234885	4.06806305	12.62690776	14.57702996	1.901488292	13.60196886
1440.00	0.683595446	0.616016564	0.002283453	0.649806005	0.526302052	0.655716462	0.008374045	0.591009257	2.54756369	5.69884695	4.965293094	4.12320532	13.68798527	15.49658607	1.635518421	14.59228567
